batch_id, timestamp, scale, adam, transforms, layer, index, threshold, loss, status
0, 1547641152662, 64, 0.05, 2, 11, 8, 64, 4.699213, ""
0, 1547641152662, 64, 0.05, 2, 11, 8, 128, 4.8908525, ""
0, 1547641152662, 64, 0.05, 2, 11, 8, 256, 5.371322, ""
0, 1547641152662, 64, 0.05, 2, 11, 8, 512, 5.4555035, ""
0, 1547641152662, 64, 0.05, 2, 11, 8, 1024, 5.0508366, ""
0, 1547641169068, 64, 0.05, 2, 11, 9, 64, -0.18843356, ""
0, 1547641169068, 64, 0.05, 2, 11, 9, 128, -0.26247385, ""
0, 1547641169068, 64, 0.05, 2, 11, 9, 256, 0.42903328, ""
0, 1547641169068, 64, 0.05, 2, 11, 9, 512, 0.55544025, ""
0, 1547641169068, 64, 0.05, 2, 11, 9, 1024, 0.8060402, ""
0, 1547641182751, 64, 0.05, 2, 11, 10, 64, -0.7246752, ""
0, 1547641182751, 64, 0.05, 2, 11, 10, 128, -0.72284615, ""
0, 1547641182751, 64, 0.05, 2, 11, 10, 256, -0.38911176, ""
0, 1547641182751, 64, 0.05, 2, 11, 10, 512, -0.56725097, ""
0, 1547641182751, 64, 0.05, 2, 11, 10, 1024, -0.26473677, ""
0, 1547641196167, 64, 0.05, 2, 11, 11, 64, -0.575404, ""
0, 1547641196167, 64, 0.05, 2, 11, 11, 128, -0.27748653, ""
0, 1547641196167, 64, 0.05, 2, 11, 11, 256, -0.08118545, ""
0, 1547641196167, 64, 0.05, 2, 11, 11, 512, -0.27734485, ""
0, 1547641196167, 64, 0.05, 2, 11, 11, 1024, -0.1264297, ""
0, 1547641210169, 64, 0.05, 4, 22, 8, 64, -0.24548396, ""
0, 1547641210169, 64, 0.05, 4, 22, 8, 128, -0.25567496, ""
0, 1547641210169, 64, 0.05, 4, 22, 8, 256, -0.26990998, ""
0, 1547641210169, 64, 0.05, 4, 22, 8, 512, -0.15381554, ""
0, 1547641210169, 64, 0.05, 4, 22, 8, 1024, -0.13626605, ""
0, 1547641224422, 64, 0.05, 4, 22, 9, 64, 0.36162156, ""
0, 1547641224422, 64, 0.05, 4, 22, 9, 128, 0.4370842, ""
0, 1547641224422, 64, 0.05, 4, 22, 9, 256, 0.7220917, ""
0, 1547641224422, 64, 0.05, 4, 22, 9, 512, 0.6712896, ""
0, 1547641224422, 64, 0.05, 4, 22, 9, 1024, 0.80114233, ""
1, 1547642359068, 64, 0.05, 2, 11, 8, 64, 4.794458, ""
1, 1547642359068, 64, 0.05, 2, 11, 8, 256, 4.9921055, ""
1, 1547642359068, 64, 0.05, 2, 11, 8, 1024, 5.395464, ""
1, 1547642375285, 64, 0.05, 2, 11, 9, 64, -0.22684711, ""
1, 1547642375285, 64, 0.05, 2, 11, 9, 256, 0.6911504, ""
1, 1547642375285, 64, 0.05, 2, 11, 9, 1024, 0.8902024, ""
1, 1547642388701, 64, 0.05, 2, 11, 10, 64, -0.81981444, ""
1, 1547642388701, 64, 0.05, 2, 11, 10, 256, -0.52551425, ""
1, 1547642388701, 64, 0.05, 2, 11, 10, 1024, -0.08849331, ""
1, 1547642402039, 64, 0.05, 2, 11, 11, 64, -0.48051438, ""
1, 1547642402039, 64, 0.05, 2, 11, 11, 256, 0.052553862, ""
1, 1547642402039, 64, 0.05, 2, 11, 11, 1024, -0.08936806, ""
1, 1547642416448, 64, 0.05, 4, 22, 8, 64, -0.31803015, ""
1, 1547642416448, 64, 0.05, 4, 22, 8, 256, -0.15794954, ""
1, 1547642416448, 64, 0.05, 4, 22, 8, 1024, -0.15322556, ""
1, 1547642430615, 64, 0.05, 4, 22, 9, 64, 0.3129062, ""
1, 1547642430615, 64, 0.05, 4, 22, 9, 256, 0.67526543, ""
1, 1547642430615, 64, 0.05, 4, 22, 9, 1024, 0.7903482, ""
1, 1547642444483, 64, 0.05, 4, 22, 10, 64, 0.4374823, ""
1, 1547642444483, 64, 0.05, 4, 22, 10, 256, 0.55519706, ""
1, 1547642444483, 64, 0.05, 4, 22, 10, 1024, 0.577912, ""
1, 1547642458111, 64, 0.05, 4, 22, 11, 64, -0.6343464, ""
1, 1547642458111, 64, 0.05, 4, 22, 11, 256, -0.621716, ""
1, 1547642458111, 64, 0.05, 4, 22, 11, 1024, -0.5996855, ""
1, 1547642472318, 64, 0.05, 4, 23, 8, 64, -2.9637794, ""
1, 1547642472318, 64, 0.05, 4, 23, 8, 256, -2.942383, ""
1, 1547642472318, 64, 0.05, 4, 23, 8, 1024, -3.1732929, ""
1, 1547642490401, 64, 0.05, 4, 23, 9, 64, -3.1657338, ""
1, 1547642490401, 64, 0.05, 4, 23, 9, 256, -2.7526102, ""
1, 1547642490401, 64, 0.05, 4, 23, 9, 1024, -2.9309468, ""
1, 1547642508029, 64, 0.05, 4, 23, 10, 64, -4.314875, ""
1, 1547642508029, 64, 0.05, 4, 23, 10, 256, -3.3812108, ""
1, 1547642508029, 64, 0.05, 4, 23, 10, 1024, -3.0013702, ""
1, 1547642526160, 64, 0.05, 4, 23, 11, 64, -3.7109823, ""
1, 1547642526160, 64, 0.05, 4, 23, 11, 256, -3.825473, ""
1, 1547642526160, 64, 0.05, 4, 23, 11, 1024, -2.8074365, ""
